Model Name,Train-Acc Source,Val-Acc Target
CORAL,0.867,1.0
MSSA,0.6755,1.0
ACDANN,0.7553,1.0
BSP,0.6862,1.0
CNN,0.6915,1.0
DAN,0.9255,1.0
DANN,0.8191,1.0
IBN,0.7234,1.0
CDAN,0.9628,1.0
MFSAN,0.6755,1.0
ADACL,0.9468,1.0
MCD,0.9894,0.9792
IRM,0.5851,0.7708
